date,home_team,away_team,home_score,away_score,city,country,neutral,target
1930,5,75,0.0,3.0,83,16,1,2
1930,26,42,4.0,1.0,83,16,1,1
1930,8,78,1.0,2.0,83,16,1,2
1930,52,56,1.0,3.0,83,16,1,2
1930,2,25,1.0,0.0,83,16,1,1
1930,12,42,3.0,0.0,83,16,1,1
1930,6,78,0.0,4.0,83,16,1,2
1930,51,75,0.0,3.0,83,16,1,2
1930,76,52,1.0,0.0,83,16,0,1
1930,2,42,6.0,3.0,83,16,1,1
1930,12,25,1.0,0.0,83,16,1,1
1930,5,51,0.0,1.0,83,16,1,2
1930,6,8,0.0,4.0,83,16,1,2
1930,76,56,4.0,0.0,83,16,0,1
1930,2,12,3.0,1.0,83,16,1,1
1930,2,75,6.0,1.0,83,16,1,1
1930,76,78,6.0,1.0,83,16,0,1
1930,76,2,4.0,2.0,83,16,0,1
1934,2,67,2.0,3.0,12,6,1,2
1934,4,25,3.0,2.0,144,6,1,1
1934,5,27,2.0,5.0,36,6,1,2
1934,8,66,1.0,3.0,43,6,1,2
1934,19,56,2.0,1.0,143,6,1,1
1934,23,32,2.0,4.0,89,6,1,2
1934,38,75,7.0,1.0,116,6,0,1
1934,44,68,2.0,3.0,81,6,1,2
1934,4,32,2.0,1.0,12,6,1,1
1934,19,68,3.0,2.0,144,6,1,1
1934,28,67,2.0,1.0,81,6,1,1
1934,38,66,1.0,1.0,36,6,0,0
1934,38,66,1.0,0.0,36,6,0,1
1934,19,27,3.0,1.0,116,6,1,1
1934,38,4,1.0,0.0,81,6,0,1
1934,4,27,2.0,3.0,89,6,1,2
1934,38,18,2.0,1.0,116,6,0,1
1938,28,68,1.0,1.0,102,4,1,0
1938,8,53,6.0,5.0,136,4,1,1
1938,17,56,3.0,3.0,142,4,1,0
1938,19,44,3.0,0.0,63,4,1,1
1938,26,5,3.0,1.0,22,4,0,1
1938,33,34,6.0,0.0,113,4,1,1
1938,38,49,2.0,1.0,77,4,1,1
1938,17,56,2.0,1.0,142,4,1,1
1938,28,68,2.0,4.0,102,4,1,2
1938,8,18,1.0,1.0,13,4,1,0
1938,17,67,0.0,8.0,1,4,1,2
1938,26,37,1.0,3.0,22,4,0,2
1938,33,68,2.0,0.0,67,4,1,1
1938,8,18,2.0,1.0,13,4,1,1
1938,8,37,1.0,2.0,77,4,1,2
1938,33,67,5.0,1.0,102,4,1,1
1938,8,67,4.0,2.0,13,4,1,1
1938,33,37,2.0,4.0,22,4,1,2
1950,8,42,4.0,0.0,115,1,0,1
1950,12,24,0.0,2.0,115,1,1,2
1950,38,67,2.0,3.0,140,1,1,2
1950,66,75,3.0,1.0,24,1,1,1
1950,68,78,0.0,3.0,6,1,1,2
1950,8,68,2.0,2.0,140,1,0,0
1950,42,78,1.0,4.0,107,1,1,2
1950,12,66,0.0,2.0,115,1,1,2
1950,25,75,0.0,1.0,6,1,1,2
1950,51,67,2.0,2.0,24,1,1,0
1950,8,78,2.0,0.0,115,1,0,1
1950,6,76,0.0,8.0,6,1,1,2
1950,12,75,5.0,2.0,112,1,1,1
1950,25,66,0.0,1.0,115,1,1,2
1950,38,51,2.0,0.0,140,1,1,1
1950,42,68,1.0,2.0,107,1,1,2
1950,8,67,7.0,1.0,115,1,0,1
1950,66,76,2.0,2.0,140,1,1,0
1950,8,66,6.0,1.0,115,1,0,1
1950,67,76,2.0,3.0,140,1,1,2
1950,8,76,1.0,2.0,115,1,0,2
1950,66,67,1.0,3.0,140,1,1,2
1954,4,59,1.0,0.0,158,14,1,1
1954,8,42,5.0,0.0,42,14,1,1
1954,19,76,0.0,2.0,8,14,1,2
1954,26,78,0.0,1.0,62,14,1,2
1954,5,24,4.0,4.0,5,14,1,0
1954,28,72,4.0,1.0,8,14,1,1
1954,33,65,9.0,0.0,158,14,1,1
1954,68,37,2.0,1.0,62,14,0,1
1954,4,18,5.0,0.0,158,14,1,1
1954,8,78,1.0,1.0,62,14,1,0
1954,26,42,3.0,2.0,42,14,1,1
1954,59,76,0.0,7.0,5,14,1,2
1954,5,37,1.0,4.0,70,14,1,2
1954,28,32,3.0,8.0,5,14,1,2
1954,65,72,0.0,7.0,42,14,1,2
1954,68,24,0.0,2.0,8,14,0,2
1954,28,72,7.0,2.0,158,14,1,1
1954,68,37,4.0,1.0,5,14,0,1
1954,25,76,2.0,4.0,5,14,1,2
1954,68,4,5.0,7.0,62,14,0,2
1954,8,32,2.0,4.0,8,14,1,2
1954,28,78,2.0,0.0,42,14,1,1
1954,4,27,1.0,6.0,5,14,1,2
1954,33,76,4.0,2.0,62,14,1,1
1954,4,76,3.0,1.0,158,14,1,1
1954,28,32,3.0,2.0,8,14,1,1
1958,2,27,1.0,3.0,73,13,1,2
1958,4,8,0.0,3.0,145,13,1,2
1958,19,48,0.0,1.0,48,13,1,2
1958,25,57,2.0,2.0,45,13,1,0
1958,26,51,7.0,3.0,95,13,1,1
1958,33,77,1.0,1.0,126,13,1,0
1958,59,78,1.0,1.0,154,13,1,0
1958,67,42,3.0,0.0,135,13,0,1
1958,2,48,3.0,1.0,48,13,1,1
1958,4,57,0.0,2.0,14,13,1,2
1958,8,24,0.0,0.0,45,13,1,0
1958,19,27,2.0,2.0,51,13,1,0
1958,26,78,2.0,3.0,154,13,1,2
1958,42,77,1.0,1.0,135,13,1,0
1958,51,59,3.0,2.0,95,13,1,1
1958,67,32,2.0,1.0,135,13,0,1
1958,2,18,1.0,6.0,51,13,1,2
1958,4,24,2.0,2.0,14,13,1,0
1958,8,57,2.0,0.0,45,13,1,1
1958,26,59,2.0,1.0,159,13,1,1
1958,28,48,2.0,2.0,73,13,1,0
1958,33,42,4.0,0.0,126,13,1,1
1958,51,78,3.0,3.0,35,13,1,0
1958,67,77,0.0,0.0,135,13,0,0
1958,19,48,1.0,2.0,73,13,1,2
1958,25,57,0.0,1.0,45,13,1,2
1958,33,77,1.0,2.0,135,13,1,2
1958,8,77,1.0,0.0,45,13,1,1
1958,26,48,4.0,0.0,95,13,1,1
1958,28,78,1.0,0.0,73,13,1,1
1958,67,57,2.0,0.0,135,13,0,1
1958,8,25,5.0,2.0,135,13,1,1
1958,67,27,3.0,1.0,45,13,0,1
1958,26,27,6.0,3.0,45,13,1,1
1958,67,8,2.0,5.0,135,13,0,2
1962,2,9,1.0,0.0,111,2,1,1
1962,8,42,2.0,0.0,152,2,1,1
1962,12,68,3.0,1.0,127,2,0,1
1962,14,76,1.0,2.0,2,2,1,2
1962,19,66,1.0,0.0,152,2,1,1
1962,25,32,1.0,2.0,111,2,1,2
1962,28,37,0.0,0.0,127,2,1,0
1962,57,78,2.0,0.0,2,2,1,1
1962,2,24,1.0,3.0,111,2,1,2
1962,8,18,0.0,0.0,152,2,1,0
1962,12,37,2.0,0.0,127,2,0,1
1962,76,78,1.0,3.0,2,2,1,2
1962,9,32,1.0,6.0,111,2,1,2
1962,14,57,4.0,4.0,2,2,1,0
1962,28,68,2.0,1.0,127,2,1,1
1962,42,66,0.0,1.0,152,2,1,2
1962,2,32,0.0,0.0,111,2,1,0
1962,8,66,2.0,1.0,152,2,1,1
1962,12,27,0.0,2.0,127,2,0,2
1962,57,76,2.0,1.0,2,2,1,1
1962,9,24,0.0,0.0,111,2,1,0
1962,14,78,0.0,5.0,2,2,1,2
1962,19,42,1.0,3.0,152,2,1,2
1962,38,68,3.0,0.0,127,2,1,1
1962,8,24,3.0,1.0,152,2,1,1
1962,12,57,2.0,1.0,2,2,0,1
1962,19,32,1.0,0.0,111,2,1,1
1962,28,78,0.0,1.0,127,2,1,2
1962,12,8,2.0,4.0,127,2,0,2
1962,19,78,3.0,1.0,152,2,1,1
1962,12,78,1.0,0.0,127,2,0,1
1962,8,18,3.0,1.0,127,2,1,1
1966,25,76,0.0,0.0,69,3,0,0
1966,8,9,2.0,0.0,68,3,1,1
1966,28,68,5.0,0.0,133,3,1,1
1966,47,57,0.0,3.0,80,3,1,2
1966,2,66,2.0,1.0,10,3,1,1
1966,12,37,0.0,2.0,138,3,1,2
1966,26,42,1.0,1.0,69,3,1,0
1966,33,54,1.0,3.0,75,3,1,2
1966,8,32,1.0,3.0,68,3,1,2
